     27.8132966130 a         1     0     1     1     1
     -0.9771118032 a         2     0     1     1     2
     -8.5267634678 a         3     0     1     1     3
     -6.6568194902 a         4     0     1     1     4
    -24.0183975405 a         5     0     1     1     5
     -0.9138346851 a         6     0     1     1     6
      1.7406423727 a         7     0     1     1     7
    -26.9067108348 a         8     0     1     1     8
     13.8518348794 a         9     0     1     1     9
      8.4122122732 a        10     0     1     1    10
    -13.0501184249 a        11     0     2     1     1
     -1.1168277580 a        12     0     2     1     2
      0.9304895946 a        13     0     2     1     3
      4.4284627687 a        14     0     2     1     4
     -6.5312298324 a        15     0     2     1     5
     11.6254761645 a        16     0     2     1     6
     -5.9899839764 a        17     0     2     1     7
      8.7262898282 a        18     0     2     1     8
     -3.2787514712 a        19     0     2     1     9
      0.3977897897 a        20     0     2     1    10
    -12.1018193865 a        21     0     3     1     1
    -11.1437663404 a        22     0     3     1     2
      6.6864547213 a        23     0     3     1     3
      4.4754662026 a        24     0     3     1     4
    -13.4738678399 a        25     0     3     1     5
      8.6035704345 a        26     0     3     1     6
     -1.7112387224 a        27     0     3     1     7
     -3.6479798631 a        28     0     3     1     8
      9.3485131402 a        29     0     3     1     9
     17.1464872653 a        30     0     3     1    10
     13.5249262810 a        31     0     4     1     1
      3.6172710224 a        32     0     4     1     2
     -6.3689421111 a        33     0     4     1     3
     -4.5887096393 a        34     0     4     1     4
    -16.2449510046 a        35     0     4     1     5
     -0.3085065248 a        36     0     4     1     6
      0.9992010274 a        37     0     4     1     7
    -13.0403923691 a        38     0     4     1     8
     19.3073918934 a        39     0     4     1     9
      5.2850672830 a        40     0     4     1    10
    -11.8048743759 a        41     0     5     1     1
      5.1238186135 a        42     0     5     1     2
      3.9819666865 a        43     0     5     1     3
      1.0073112549 a        44     0     5     1     4
     -2.8860013701 a        45     0     5     1     5
      5.1976865381 a        46     0     5     1     6
     -2.7751822252 a        47     0     5     1     7
      2.9624877610 a        48     0     5     1     8
      3.7553924262 a        49     0     5     1     9
     -6.2973988434 a        50     0     5     1    10
    -17.7559475455 a        51     0     6     1     1
     -2.3221074566 a        52     0     6     1     2
     12.1918125404 a        53     0     6     1     3
      1.1678914132 a        54     0     6     1     4
      5.0659087565 a        55     0     6     1     5
     -3.1362900172 a        56     0     6     1     6
      4.4623583438 a        57     0     6     1     7
      6.4509394844 a        58     0     6     1     8
     -3.9608279103 a        59     0     6     1     9
     -8.9176359030 a        60     0     6     1    10
      1.5241793403 a        61     0     7     1     1
     14.8246890445 a        62     0     7     1     2
     -3.0012978968 a        63     0     7     1     3
    -12.4027167446 a        64     0     7     1     4
     -2.3535752352 a        65     0     7     1     5
      3.9722784692 a        66     0     7     1     6
    -12.0347462268 a        67     0     7     1     7
     10.3720455108 a        68     0     7     1     8
     14.6866137239 a        69     0     7     1     9
      1.0119564695 a        70     0     7     1    10
    -12.9268922305 a        71     0     8     1     1
      3.8408041566 a        72     0     8     1     2
      3.3887927779 a        73     0     8     1     3
      4.7831396662 a        74     0     8     1     4
      1.0728525663 a        75     0     8     1     5
      7.2080257655 a        76     0     8     1     6
      5.1255282262 a        77     0     8     1     7
     -2.5416099145 a        78     0     8     1     8
      0.2787590442 a        79     0     8     1     9
     -3.3082190120 a        80     0     8     1    10
    -18.8196550973 a        81     0     9     1     1
      5.1942296120 a        82     0     9     1     2
      0.7094277545 a        83     0     9     1     3
     -1.1142662378 a        84     0     9     1     4
     12.0733148560 a        85     0     9     1     5
     -2.0339090058 a        86     0     9     1     6
     -9.2425034972 a        87     0     9     1     7
     21.4787245763 a        88     0     9     1     8
    -20.6076993273 a        89     0     9     1     9
    -18.0038931035 a        90     0     9     1    10
    -11.3641391817 a        91     0    10     1     1
      1.0378991964 a        92     0    10     1     2
      0.3599122471 a        93     0    10     1     3
     -4.5099713918 a        94     0    10     1     4
     22.2789267916 a        95     0    10     1     5
      8.1933910921 a        96     0    10     1     6
     22.1762834068 a        97     0    10     1     7
      6.2001714647 a        98     0    10     1     8
     -4.8710580456 a        99     0    10     1     9
     -5.7810610588 a       100     0    10     1    10
    -11.6696015360 a       101     0    11     1     1
      0.5558207400 a       102     0    11     1     2
      2.0494620568 a       103     0    11     1     3
     10.0521117427 a       104     0    11     1     4
      6.2266592321 a       105     0    11     1     5
     12.9848385188 a       106     0    11     1     6
      3.6210538984 a       107     0    11     1     7
      0.2672853406 a       108     0    11     1     8
     -9.4752180535 a       109     0    11     1     9
      2.5346568282 a       110     0    11     1    10
    -20.1003152068 a       111     0    12     1     1
     -8.2020307905 a       112     0    12     1     2
    -12.7177949581 a       113     0    12     1     3
     15.8844069140 a       114     0    12     1     4
     13.8011417872 a       115     0    12     1     5
     10.0647473846 a       116     0    12     1     6
      5.7864956280 a       117     0    12     1     7
      8.1019754028 a       118     0    12     1     8
    -30.9757132594 a       119     0    12     1     9
    -13.8892328213 a       120     0    12     1    10
    -15.4984989225 a       121     0    13     1     1
     -3.9358532387 a       122     0    13     1     2
     -7.0355962879 a       123     0    13     1     3
     11.1157000591 a       124     0    13     1     4
     20.8793913774 a       125     0    13     1     5
      2.2131901953 a       126     0    13     1     6
      6.7235040491 a       127     0    13     1     7
      8.5826753033 a       128     0    13     1     8
    -25.6062683626 a       129     0    13     1     9
    -16.4197025577 a       130     0    13     1    10
    -10.6954771585 a       131     0    14     1     1
      5.0369569913 a       132     0    14     1     2
     -2.0125349083 a       133     0    14     1     3
     11.7626103570 a       134     0    14     1     4
      5.0943995599 a       135     0    14     1     5
     16.3997602801 a       136     0    14     1     6
    -16.0227008028 a       137     0    14     1     7
     15.0688025816 a       138     0    14     1     8
    -17.9731731818 a       139     0    14     1     9
      7.5441091498 a       140     0    14     1    10
    -13.1391369415 a       141     0    15     1     1
     -4.7364582314 a       142     0    15     1     2
    -21.6290103466 a       143     0    15     1     3
     11.4481868882 a       144     0    15     1     4
     -5.1648234793 a       145     0    15     1     5
     14.7270739219 a       146     0    15     1     6
     -8.7920148387 a       147     0    15     1     7
     -1.0490581899 a       148     0    15     1     8
     -6.2026583812 a       149     0    15     1     9
     -6.9453858363 a       150     0    15     1    10
    -11.7822643518 a       151     0    16     1     1
     -1.7597145622 a       152     0    16     1     2
     -9.7402414642 a       153     0    16     1     3
     16.6370195587 a       154     0    16     1     4
     -3.5843874960 a       155     0    16     1     5
     -2.2705128918 a       156     0    16     1     6
    -20.6922193071 a       157     0    16     1     7
      1.6646292841 a       158     0    16     1     8
    -17.5192596878 a       159     0    16     1     9
     -8.1565571270 a       160     0    16     1    10
    -13.9750015343 a       161     0    17     1     1
      1.6529801399 a       162     0    17     1     2
     -2.9834095620 a       163     0    17     1     3
     13.2880984584 a       164     0    17     1     4
      3.6745599225 a       165     0    17     1     5
      9.4088147238 a       166     0    17     1     6
     -0.1185355016 a       167     0    17     1     7
      3.6251980649 a       168     0    17     1     8
     -9.1631980839 a       169     0    17     1     9
      2.7490775166 a       170     0    17     1    10
      0.1267214593 a       171     0    18     1     1
      2.6798596930 a       172     0    18     1     2
     -6.2477925491 a       173     0    18     1     3
    -13.0066274997 a       174     0    18     1     4
    -16.2331960468 a       175     0    18     1     5
     15.8298545094 a       176     0    18     1     6
    -15.0964067142 a       177     0    18     1     7
     -7.0728339274 a       178     0    18     1     8
     22.8485074746 a       179     0    18     1     9
     13.4324109346 a       180     0    18     1    10
     -9.2570488394 a       181     0    19     1     1
     -2.7116446876 a       182     0    19     1     2
      8.9650709299 a       183     0    19     1     3
     17.8379584244 a       184     0    19     1     4
     -6.8956679587 a       185     0    19     1     5
      6.2265352606 a       186     0    19     1     6
    -13.8298859979 a       187     0    19     1     7
    -19.8960033628 a       188     0    19     1     8
     -8.4051662638 a       189     0    19     1     9
      1.8719883674 a       190     0    19     1    10
     -7.8027710582 a       191     0    20     1     1
      6.3471286311 a       192     0    20     1     2
     -0.0458096830 a       193     0    20     1     3
     -0.7586417517 a       194     0    20     1     4
     -0.3031221759 a       195     0    20     1     5
     -7.0887308807 a       196     0    20     1     6
      0.3956005254 a       197     0    20     1     7
