      3.3947848437 a         1     0     1     1     1
     16.2589471219 a         2     0     1     1     2
      5.5060501234 a         3     0     1     1     3
    -25.4537781803 a         4     0     1     1     4
     11.4026420962 a         5     0     1     1     5
     20.6556658006 a         6     0     1     1     6
    -26.5340301247 a         7     0     1     1     7
     12.3161507283 a         8     0     1     1     8
     47.2016257713 a         9     0     1     1     9
     -2.9502519430 a        10     0     1     1    10
     33.8093203142 a        11     0     1     1    11
     15.8582477022 a        12     0     1     1    12
      3.7892304879 a        13     0     1     1    13
    -14.8734176565 a        14     0     1     1    14
     -6.0543308377 a        15     0     1     1    15
      7.6921095336 a        16     0     1     1    16
     -9.5218347676 a        17     0     1     1    17
     13.7540052993 a        18     0     1     1    18
      7.2326844107 a        19     0     1     1    19
      7.9853344459 a        20     0     1     1    20
      4.6972402582 a        21     0     1     1    21
     -1.1352959013 a        22     0     1     1    22
     25.7884350597 a        23     0     1     1    23
     -1.1461957249 a        24     0     1     1    24
    -29.3371866074 a        25     0     1     1    25
     -6.0438538264 a        26     0     1     1    26
      2.6348880057 a        27     0     1     1    27
     38.1980281721 a        28     0     1     1    28
     -6.8096887189 a        29     0     1     1    29
      1.3030290898 a        30     0     1     1    30
    -13.6198453903 a        31     0     2     1     1
      5.6092369398 a        32     0     2     1     2
      4.8015782929 a        33     0     2     1     3
      1.9503551073 a        34     0     2     1     4
     -0.6379534092 a        35     0     2     1     5
     -5.4955976276 a        36     0     2     1     6
     11.8275507455 a        37     0     2     1     7
     -3.5943194854 a        38     0     2     1     8
      6.2950450136 a        39     0     2     1     9
      9.9499833012 a        40     0     2     1    10
    -15.8858380731 a        41     0     2     1    11
      7.9597545425 a        42     0     2     1    12
    -27.8103851927 a        43     0     2     1    13
     -2.8048626220 a        44     0     2     1    14
      0.9085763542 a        45     0     2     1    15
     -9.6185625839 a        46     0     2     1    16
      9.3918397590 a        47     0     2     1    17
     -9.5672114435 a        48     0     2     1    18
     12.0312492586 a        49     0     2     1    19
    -42.5866472548 a        50     0     2     1    20
    -14.5903883370 a        51     0     2     1    21
     -8.8140188214 a        52     0     2     1    22
     -7.5295390501 a        53     0     2     1    23
     -3.0147504422 a        54     0     2     1    24
     28.6208152776 a        55     0     2     1    25
     -3.3064708775 a        56     0     2     1    26
      7.2988295685 a        57     0     2     1    27
    -24.6427122900 a        58     0     2     1    28
     -1.3072036471 a        59     0     2     1    29
     -1.3335805928 a        60     0     2     1    30
    -12.8457202430 a        61     0     3     1     1
